fecha,ciudad,temperatura,humedad,presion,descripcion
2026-06-26T22:03:23.375712693,Quito,10.57,74,1019,nubes dispersas
2026-06-26T22:10:09.596626987,Quito,10.57,74,1019,nubes dispersas
2026-06-26T22:11:16.723025960,Quito,10.57,74,1019,nubes dispersas
2026-06-26T22:38:58.286104462,Quito,10.76,72,1018,nubes dispersas
2026-06-26T22:45:54.645965152,Quito,10.76,72,1018,nubes dispersas
2026-06-26T23:42:59.610335321,Quito,11.08,71,1018,muy nuboso
2026-06-26T23:45:02.994371686,Quito,11.08,71,1018,muy nuboso
2026-06-26T23:50:03.030202020,Quito,11.08,71,1018,muy nuboso
2026-06-26T23:55:03.118213889,Quito,11.08,71,1018,muy nuboso
2026-06-27T00:00:02.679602148,Quito,11.08,71,1018,muy nuboso
2026-06-27T00:05:03.102653784,Quito,11.08,71,1018,muy nuboso
